feature,coefficient,abs_coefficient,selected
FT3_6M,1.4507349274054069,1.4507349274054069,True
FT3_3M,0.7137625357291199,0.7137625357291199,True
ThyroidW,0.4698520795586212,0.4698520795586212,True
FT4_3M,0.4698098582386831,0.4698098582386831,True
TSH_3M,-0.228177864604225,0.228177864604225,True
FT4_1M,0.2194300480557047,0.2194300480557047,True
Height,-0.1070658921892828,0.1070658921892828,True
Age,0.0542382413078795,0.0542382413078795,True
D_TSH_6M-0M,-0.0429516753408335,0.0429516753408335,True
Uptake24h,0.0414582945373767,0.0414582945373767,True
Exophthalmos,0.0257907880769203,0.0257907880769203,True
FT4_6M,0.0095638997846902,0.0095638997846902,True
D_TSH_3M-0M,-0.0055041353689106,0.0055041353689106,True
Sex,0.0,0.0,False
Weight,0.0,0.0,False
BMI,0.0,0.0,False
RAI3d,0.0,0.0,False
TreatCount,0.0,0.0,False
TGAb,0.0,0.0,False
TPOAb,0.0,0.0,False
TRAb,0.0,0.0,False
MaxUptake,0.0,0.0,False
HalfLife,0.0,0.0,False
Dose,0.0,0.0,False
FT3_0M,0.0,0.0,False
FT4_0M,0.0,0.0,False
TSH_0M,0.0,0.0,False
FT3_1M,0.0,0.0,False
TSH_1M,0.0,0.0,False
TSH_6M,0.0,0.0,False
D_FT3_3M-0M,0.0,0.0,False
D_FT4_3M-0M,0.0,0.0,False
D_FT3_6M-0M,0.0,0.0,False
D_FT4_6M-0M,0.0,0.0,False
D_FT3_6M-3M,0.0,0.0,False
D_FT4_6M-3M,0.0,0.0,False
D_TSH_6M-3M,0.0,0.0,False
